document_id,title,abstract,category
26887,General purpose quantum computing," Method and apparatus are provided for a general purpose photonic computer. A data signal is input through an encoder to encode such signal with an instruction. The encoded signal is transmitted by means of a laser beam to an input buffer where it interferes with a reference beam so as to form an interference pattern therein as a hologram, IPH. A read beam is directed through the IPH and through a decoder which reads the instruction as having, e.g. an OP Code, data source and destination. The decoded instruction is forwarded on the read beam to ALU spin media which respond to the instruction by flipping spins between two energy levels, in one or more sequences of data patterns which are read or measured by one or more sensors. Such sensors can be RF, microwave or optical sensors, which sensors output Radix=2 or digital data signals for, e.g. storage, display or further processing as desired. Thus the present invention teaches a novel exploitation of photon-induced, quantum-mechanical spin transitions in spin media. The input signal can be from a keyboard, camera, bar code or other input source. ",Methods of Building Qubits
27640,Quantum acceleration of conventional non-quantum computers," A process and apparatus for quantum acceleration of a conventional computer by coupling a few quantum devices to the conventional computer. Initially, a first, second, and third maximally entangled qubit are prepared in a Greenberger-Horne-Zeilinger state. A fourth qubit is prepared in a perfect superposition of states which is unentangled from the three qubits. The second qubit is then measured and its measured value is input to the conventional computer. The conventional computer operates on this measured input value and performs an inverse oracle function. The second qubit is modified according to the output from the conventional computer. This modified qubit is used as one of two control inputs for controlling a quantum gate. The other control input is the fourth qubit. The quantum gate phase inverts the third qubit according to the two control inputs. A measurement of the complement of the first qubit is taken in order to produce the necessary quantum interference of the third qubit. The third qubit can now be measured to find the correct final solution. An N-bit quantum accelerated computer can be constructed by implementing N numbers of 4-qubit sets. ",Models of Manipulating Qubits for Computation
23223,Quantum computing method using Josephson junctions between s-wave and d-wave superconductors,"A solid-state quantum computing structure includes a set of islands that Josephson junctions separate from a first superconducting bank. A d-wave superconductor is on one side of the Josephson junctions (either the islands' side or the bank's side), and an s-wave superconductor forms the other side of the Josephson junctions. The d-wave superconductor causes the ground state for the supercurrent at each junction to be doubly degenerate, with two supercurrent ground states having distinct magnetic moments. These quantum states of the supercurrents at the junctions create qubits for quantum computing. The quantum states can be uniformly initialized from the bank, and the crystal orientations of the islands relative to the bank influence the initial quantum state and tunneling probabilities between the ground states. A second bank, which a Josephson junction separates from the first bank, can be coupled to the islands through single electron transistors for selectably initializing one or more of the supercurrents in a different quantum state. Single electron transistors can also be between the islands to control entanglements while the quantum states evolve. After the quantum states have evolved to complete a calculation, grounding the islands, for example, through yet another set of single electron transistors, fixes the junctions in states having definite magnetic moments and facilitates measurement of the supercurrent when determining a result of the quantum computing.",Methods of Building Qubits
25206,Quantum computing method using magnetic flux states at a josephson junction,"A solid-state quantum computing structure includes a d-wave superconductor in sets of islands that clean Josephson junctions separate from a first superconducting bank. The d-wave superconductor causes the ground state for the supercurrent at each junction to be doubly degenerate, with two supercurrent ground states having distinct magnetic moments. These quantum states of the supercurrents at the junctions create qubits for quantum computing. The quantum states can be uniformly initialized from the bank, and the crystal orientations of the islands relative to the bank influence the initial quantum state and tunneling probabilities between the ground states. A second bank, which a Josephson junction separates from the first bank, can be coupled to the islands through single electron transistors for selectably initializing one or more of the supercurrents in a different quantum state. Single electron transistors can also be used between the islands to control entanglements while the quantum states evolve. After the quantum states have evolved to complete a calculation, grounding the islands, for example, through yet another set of single electron transistors, fixes the junctions in states having definite magnetic moments and facilitates measurement of the supercurrent when determining a result of the quantum computing.",Methods of Building Qubits
24278,Crystal lattice quantum computer,"A quantum computer comprises a crystal lattice having storage atoms. The storage atoms have nuclear storage spins, and quantum bits are stored as orientations of the storage spins. A magnetic field is applied to the crystal, the magnetic field having a gradient on the order of 1T/&mgr;m. The gradient is generated by a micromagnet. The electrons of the crystal acquire a regular order, and the storage spins are initialized by inducing combined electron-nucleus transitions in the crystal, thereby transferring the electronic order to the storage spins. The storage spins are decoupled from each other by a decoupling magnetic field. Quantum logic operations are performed on the storage spins. Certain quantum logic operations require a modification of the decoupling field to recouple a plurality of the storage spins. Final polarizations of the storage spins are measured.",Methods of Building Qubits
22549,Quantum processing system for a superconducting phase qubit,"A control system for an array of qubits is disclosed. The control system according to the present invention provides currents and voltages to qubits in the array of qubits in order to perform functions on the qubit. The functions that the control system can perform include read out, initialization, and entanglement. The state of a qubit can be determined by grounding the qubit, applying a current across the qubit, measuring the resulting potential drop across the qubit, and interpreting the potential drop as a state of the qubit. A qubit can be initialized by grounding the qubit and applying a current across the qubit in a selected direction for a time sufficient that the quantum state of the qubit can relax into the selected state. In some embodiments, the qubit can be initialized by grounding the qubit and applying a current across the qubit in a selected direction and then ramping the current to zero in order that the state of the qubit relaxes into the selected state. The states of two qubits can be entangled by coupling the two qubits through a switch. In some embodiments, the switch that is capable of grounding the qubits can also be utilized for entangling selected qubits.",Methods of Building Qubits
20425,Resonant controlled qubit system,"A circuit comprising a superconducting qubit and a resonant control system that is characterized by a resonant frequency. The resonant frequency of the control system is a function of a bias current. The circuit further includes a superconducting mechanism having a capacitance or inductance. The superconducting mechanism coherently couples the superconducting qubit to the resonant control system. A method for entangling a quantum state of a first qubit with the quantum state of a second qubit. In the method, a resonant control system, which is capacitively coupled to the first and second qubit, is tuned to a first frequency that corresponds to the energy differential between the lowest two potential energy levels of the first qubit. The resonant control system is then adjusted to a second frequency corresponding to energy differential between the lowest two potential energy levels of the second qubit.",Methods of Building Qubits
22211,Finger squid qubit device,"A finger SQUID qubit device and method for performing quantum computation with said device is disclosed. A finger SQUID qubit device includes a superconducting loop and one or more superconducting fingers, wherein the fingers extend to the interior of said loop. Each finger has a mesoscopic island at the tip, separated from the rest of the finger by a Josephson junction. A system for performing quantum computation with the finger SQUID qubit device includes a mechanism for initializing, entangling, and reading out the qubits. The mechanism may involve passing a bias current across the leads of the superconducting loop and a mechanism for measuring a potential change across the leads of the superconducting loop. Furthermore, a control system includes a mechanism for addressing specific qubits in a quantum register of finger SQUID devices.",Methods of Building Qubits
21046,Quantum bit with a multi-terminal junction and loop with a phase shift,"A solid-state quantum computing qubit includes a multi-terminal junction coupled to a superconducting loop where the superconducting loop introduces a phase shift to the superconducting order parameter. The ground state of the supercurrent in the superconducting loop and multi-terminal junction is doubly degenerate, with two supercurrent ground states having distinct magnetic moments. These quantum states of the supercurrents in the superconducting loop create qubits for quantum computing. The quantum states can be initialized by applying transport currents to the external leads. Arbitrary single qubit operations may be performed by varying the transport current and/or an externally applied magnetic field. Read-out may be performed using direct measurement of the magnetic moment of the qubit state, or alternatively, radio-frequency single electron transistor electrometers can be used as read-out devices when determining a result of the quantum computing. Further, qubits as described above can form arrays of qubits for performing controlled quantum computing calculations. In one example, an array of qubits can be utilized as a random number generator.",Methods of Building Qubits
10088,Quantum logic gate and quantum logic operation method using exciton,"A quantum logic gate utilizes an inter-polarization (dipole-dipole) interaction between excitons having polarization in semiconductor quantum well structures, or a spin exchange interaction between spin polarized excitons in the semiconductor quantum well structures. Problems associated with conventional semiconductor quantum well structures are solved in that a phase relaxation time is very short because of using inter-subband electrons, and that there is no usable ultrashort optical pulse laser technology because a subband transition wavelength is in a far-infrared region and hence ultra fast control is impossible.",Models of Manipulating Qubits for Computation
